iter	RMSE
0	291363.381
1	244074.2959
2	211506.932
3	187925.4996
4	171412.6867
5	159626.0536
6	150409.0391
7	144132.4399
8	140207.2747
9	136509.4028
10	133638.024
11	130949.0377
12	128930.262
13	128280.9256
14	126166.9008
15	124362.3808
16	122885.6811
17	121942.2653
18	120584.3178
19	119791.7048
20	119236.1095
21	117847.2423
22	116685.0935
23	115958.9232
24	114961.6295
25	113817.8868
26	112992.1354
27	112456.016
28	111355.5432
29	110352.3012
30	109553.1244
31	108943.9699
32	108189.3449
33	107181.7194
34	106643.877
35	105848.3554
36	105154.8054
37	104492.9528
38	104120.2394
39	103690.9161
40	103472.3479
41	102948.7279
42	102038.1356
43	101126.616
44	100790.5329
45	100108.0735
46	99501.58309
47	99211.33309
48	98678.67067
49	98148.17087
50	97664.70059
51	97098.17821
52	96746.55002
53	96481.9553
54	96184.58235
55	95886.99179
56	95700.94011
57	95478.52701
58	94888.02897
59	94481.66219
60	94189.3735
61	93835.54444
62	93596.19826
63	93219.0816
64	93158.12027
65	92760.99508
66	92500.75157
67	92128.55398
68	91878.41204
69	91678.34731
70	91566.48212
71	91186.2182
72	90883.72666
73	90692.97578
74	90271.21262
75	89967.78994
76	89591.68028
77	89242.95592
78	89209.77964
79	89075.73621
80	88880.99317
81	88712.42204
82	88677.37321
83	88543.13638
84	88367.45233
85	88195.41702
86	87843.15563
87	87381.49717
88	87201.25493
89	86821.75732
90	86467.45022
91	86181.32937
92	85867.55496
93	85681.4831
94	85589.78213
95	85469.67566
96	85117.91134
97	84893.88259
98	84567.88542
99	84368.01285
100	84207.92449
101	84014.06499
102	83787.59613
103	83650.93611
104	83552.06689
105	83222.4732
106	83199.16565
107	83067.78601
108	82857.86458
109	82559.27931
110	82326.47005
111	82109.15411
112	82108.47792
113	82098.89145
114	81878.94748
115	81636.02076
116	81358.48318
117	81208.38464
118	80996.51841
119	80804.42737
120	80548.58449
121	80398.31953
122	80175.63678
123	79986.6046
124	79901.1476
125	79843.90027
126	79730.83992
127	79573.23332
128	79406.72074
129	79142.04409
130	79124.92252
131	79025.50026
132	78879.58895
133	78772.49791
134	78655.625
135	78617.68719
136	78331.1292
137	78122.21895
138	77968.56502
139	77651.41179
140	77482.65487
141	77328.78011
142	77195.34511
143	77152.81229
144	76921.49544
145	76803.42096
146	76660.62869
147	76508.27517
148	76447.53738
149	76359.86812
150	76284.66068
151	76029.76868
152	75935.32734
153	75836.25313
154	75572.80205
155	75544.20121
156	75410.83614
157	75229.88039
158	75180.14244
159	75008.9393
160	74854.34418
161	74700.04659
162	74637.24911
163	74552.66223
164	74456.47836
165	74289.05253
166	74234.34825
167	74065.12975
168	73956.04693
169	73873.73086
170	73615.55576
171	73397.40825
172	73223.9605
173	73041.56986
174	72923.17701
175	72820.07131
176	72712.11486
177	72692.17015
178	72532.68902
179	72413.33162
180	72246.50809
181	72239.16007
182	72106.41805
183	72066.40134
184	71982.11025
185	71904.97419
186	71827.31499
187	71730.04279
188	71682.20262
189	71572.94954
190	71450.16914
191	71283.13823
192	71245.41054
193	71211.57074
194	70996.67523
195	70862.0246
196	70643.75685
197	70549.37131
198	70427.24676
199	70328.18387
