iter	Passed	Remaining
0	15	3130
1	29	2900
2	42	2804
3	57	2803
4	70	2761
5	84	2721
6	97	2695
7	110	2663
8	124	2631
9	134	2560
10	146	2510
11	157	2464
12	170	2451
13	175	2337
14	187	2310
15	199	2298
16	213	2296
17	225	2280
18	238	2276
19	250	2257
20	260	2222
21	273	2214
22	285	2198
23	296	2175
24	309	2169
25	322	2155
26	333	2137
27	345	2121
28	356	2104
29	370	2097
30	381	2079
31	393	2066
32	405	2052
33	416	2035
34	428	2021
35	442	2014
36	455	2007
37	468	1995
38	481	1987
39	494	1977
40	505	1958
41	518	1951
42	530	1936
43	541	1920
44	553	1907
45	564	1890
46	577	1879
47	590	1870
48	603	1860
49	615	1846
50	628	1835
51	640	1822
52	652	1809
53	663	1793
54	674	1779
55	686	1764
56	696	1747
57	708	1734
58	720	1722
59	733	1712
60	745	1699
61	757	1685
62	769	1673
63	782	1663
64	795	1651
65	807	1638
66	819	1625
67	831	1614
68	845	1604
69	857	1592
70	871	1583
71	884	1573
72	898	1562
73	911	1551
74	922	1538
75	936	1527
76	949	1517
77	963	1506
78	975	1493
79	987	1481
80	1000	1469
81	1011	1455
82	1022	1442
83	1034	1429
84	1046	1415
85	1057	1402
86	1069	1388
87	1080	1375
88	1092	1362
89	1104	1350
90	1116	1337
91	1129	1326
92	1142	1314
93	1154	1302
94	1166	1289
95	1179	1277
96	1192	1266
97	1205	1254
98	1218	1242
99	1231	1231
100	1244	1219
101	1257	1208
102	1270	1196
103	1282	1184
104	1295	1172
105	1308	1160
106	1318	1146
107	1332	1135
108	1345	1123
109	1358	1111
110	1370	1098
111	1382	1085
112	1385	1066
113	1388	1047
114	1397	1033
115	1410	1021
116	1422	1008
117	1433	996
118	1446	984
119	1457	971
120	1470	960
121	1482	947
122	1494	935
123	1506	923
124	1519	911
125	1531	899
126	1543	886
127	1555	875
128	1568	863
129	1580	850
130	1590	837
131	1602	825
132	1614	813
133	1625	800
134	1637	788
135	1648	775
136	1659	763
137	1670	750
138	1682	738
139	1694	726
140	1705	713
141	1717	701
142	1729	689
143	1741	677
144	1752	664
145	1765	653
146	1778	641
147	1791	629
148	1803	617
149	1816	605
150	1830	593
151	1841	581
152	1854	569
153	1864	557
154	1878	545
155	1889	533
156	1901	520
157	1914	508
158	1925	496
159	1935	483
160	1946	471
161	1958	459
162	1969	447
163	1982	435
164	1993	422
165	2005	410
166	2017	398
167	2029	386
168	2040	374
169	2052	362
170	2064	350
171	2076	338
172	2087	325
173	2098	313
174	2111	301
175	2122	289
176	2133	277
177	2146	265
178	2157	253
179	2170	241
180	2181	229
181	2193	216
182	2206	204
183	2216	192
184	2228	180
185	2240	168
186	2252	156
187	2265	144
188	2277	132
189	2288	120
190	2300	108
191	2311	96
192	2323	84
193	2336	72
194	2348	60
195	2361	48
196	2373	36
197	2384	24
198	2397	12
199	2409	0
